Customer ID ,order_id,order_date,Rev (USD),region,status,notes,age,month,product,sales_rep,country
CUST1000,ORD05000,2025-05-21,2613.41, north,active,follow up,28,May,Basic,Alice,USA
CUST1001,ORD05001,2025-11-05,20159.85,West,active,follow up,63,Nov,Pro,Alice,USA
CUST1002,ORD05002,2025-03-21,29251.17, north,churned,-,43,Mar,Pro,Alice,Canada
CUST1003,ORD05003,2025-07-13,82728.28,East,active,follow up,62,Jul,Enterprise,Alice,USA
CUST1004,ORD05004,2025-04-30,83751.22,East,churned,follow up,51,Apr,Starter,Carol,USA
CUST1005,ORD05005,2025-05-06,14961.22,South,trial,follow up,39,May,Enterprise,Bob,USA
CUST1006,ORD05006,2025-02-03,34398.42,East,inactive,follow up,58,Feb,Basic,David,USA
CUST1007,ORD05007,10-15-2025,21340.02,West,trial,,59,Oct,Basic,Alice,USA
CUST1008,ORD05008,03-23-2025,13415.09, west,active,,26,Mar,Enterprise,Alice,UK
CUST1009,ORD05009,2025-06-24,65446.59,NORTH,active,None,32,Jun,Pro,Eve,UK
CUST1010,ORD05010,03-24-2025,32095.72,East,active,follow up,55,Mar,Pro,Carol,USA
CUST1011,ORD05011,2025-02-10,"75364,",NORTH,inactive,follow up,26,Feb,Starter,Carol,UK
CUST1012,ORD05012,04-19-2025,36255.16,West,active,follow up,34,Apr,Pro,David,UK
CUST1013,ORD05012,02/02/2025,21448.02,South,active,,,Feb,Enterprise,Bob,USA
CUST1014,ORD05014,02-06-2025,73139.19,NORTH,active,,64,Feb,Basic,Bob,Canada
CUST1015,ORD05015,02-19-2025,16589.64, north,active,N/A,49,Feb,Pro,Alice,USA
CUST1016,ORD05016,13/03/2025,45816.15, west,trial,N/A,51,Mar,Enterprise,Alice,UK
CUST1017,ORD05017,2025-05-02,82380.18,North,active,-,52,May,Basic,Carol,Canada
CUST1018,ORD05018,10-12-2025,59361.98,North,active,na,31,Oct,Enterprise,Carol,USA
CUST1019,ORD05019,09-15-2025,"63493,", north,active,na,54,Sep,Starter,David,USA
CUST1020,ORD05020,10-24-2025,48637.57,East,trial,,,Oct,Pro,Bob,USA
CUST1021,ORD05021,03/06/2025,57257.82, north,trial,,26,Jun,Pro,Bob,USA
CUST1022,ORD05022,09/07/2025,74798.34,North,active,follow up,56,Jul,Pro,Alice,USA
CUST1023,ORD05023,2025-10-11,75680.72,South,trial,None,60,Oct,Pro,Eve,Canada
